project,bucket_end,history_rps,rolling_mean_5,rolling_std_5,hour_of_day,day_of_week,target_next_rps
de.wikipedia.org,2024-01-01 10:00:00,"[1993104, 1244701, 827483, 601848, 507080, 492763, 596024, 818669, 1183179, 1550716]",928270.2,391020.140648228,10,0,1896390
de.wikipedia.org,2024-01-01 11:00:00,"[1244701, 827483, 601848, 507080, 492763, 596024, 818669, 1183179, 1550716, 1896390]",1208995.6,472871.9545156384,11,0,2156817
de.wikipedia.org,2024-01-01 12:00:00,"[827483, 601848, 507080, 492763, 596024, 818669, 1183179, 1550716, 1896390, 2156817]",1521154.2,480303.1736224111,12,0,2245582
de.wikipedia.org,2024-01-01 13:00:00,"[601848, 507080, 492763, 596024, 818669, 1183179, 1550716, 1896390, 2156817, 2245582]",1806536.8,394347.4945371911,13,0,2126376
de.wikipedia.org,2024-01-01 14:00:00,"[507080, 492763, 596024, 818669, 1183179, 1550716, 1896390, 2156817, 2245582, 2126376]",1995176.2,250338.88356098422,14,0,2201237
de.wikipedia.org,2024-01-01 15:00:00,"[492763, 596024, 818669, 1183179, 1550716, 1896390, 2156817, 2245582, 2126376, 2201237]",2125280.4,121349.45631291473,15,0,2278283
de.wikipedia.org,2024-01-01 16:00:00,"[596024, 818669, 1183179, 1550716, 1896390, 2156817, 2245582, 2126376, 2201237, 2278283]",2201659.0,55639.878580025674,16,0,2484105
de.wikipedia.org,2024-01-01 17:00:00,"[818669, 1183179, 1550716, 1896390, 2156817, 2245582, 2126376, 2201237, 2278283, 2484105]",2267116.6,119850.26608664663,17,0,2655507
de.wikipedia.org,2024-01-01 18:00:00,"[1183179, 1550716, 1896390, 2156817, 2245582, 2126376, 2201237, 2278283, 2484105, 2655507]",2349101.6,194214.363060614,18,0,2753958
de.wikipedia.org,2024-01-01 19:00:00,"[1550716, 1896390, 2156817, 2245582, 2126376, 2201237, 2278283, 2484105, 2655507, 2753958]",2474618.0,211719.75461727704,19,0,3169841
de.wikipedia.org,2024-01-01 20:00:00,"[1896390, 2156817, 2245582, 2126376, 2201237, 2278283, 2484105, 2655507, 2753958, 3169841]",2668338.8,298357.2956308593,20,0,3245179
de.wikipedia.org,2024-01-01 21:00:00,"[2156817, 2245582, 2126376, 2201237, 2278283, 2484105, 2655507, 2753958, 3169841, 3245179]",2861718.0,296212.38783683575,21,0,2866793
de.wikipedia.org,2024-01-01 22:00:00,"[2245582, 2126376, 2201237, 2278283, 2484105, 2655507, 2753958, 3169841, 3245179, 2866793]",2938255.6,231020.8000709893,22,0,2273689
de.wikipedia.org,2024-01-01 23:00:00,"[2126376, 2201237, 2278283, 2484105, 2655507, 2753958, 3169841, 3245179, 2866793, 2273689]",2861892.0,346236.3494308476,23,0,1570973
de.wikipedia.org,2024-01-02 00:00:00,"[2201237, 2278283, 2484105, 2655507, 2753958, 3169841, 3245179, 2866793, 2273689, 1570973]",2625295.0,628383.5552424968,0,1,1081623
de.wikipedia.org,2024-01-02 01:00:00,"[2278283, 2484105, 2655507, 2753958, 3169841, 3245179, 2866793, 2273689, 1570973, 1081623]",2207651.4,798572.6612975429,1,1,779744
de.wikipedia.org,2024-01-02 02:00:00,"[2484105, 2655507, 2753958, 3169841, 3245179, 2866793, 2273689, 1570973, 1081623, 779744]",1714564.4,766208.0071660959,2,1,610511
de.wikipedia.org,2024-01-02 03:00:00,"[2655507, 2753958, 3169841, 3245179, 2866793, 2273689, 1570973, 1081623, 779744, 610511]",1263308.0,601417.4959071277,3,1,548699
de.wikipedia.org,2024-01-02 04:00:00,"[2753958, 3169841, 3245179, 2866793, 2273689, 1570973, 1081623, 779744, 610511, 548699]",918310.0,375018.18079021183,4,1,564661
de.wikipedia.org,2024-01-02 05:00:00,"[3169841, 3245179, 2866793, 2273689, 1570973, 1081623, 779744, 610511, 548699, 564661]",717047.6,199879.48117763366,5,1,666242
de.wikipedia.org,2024-01-02 06:00:00,"[3245179, 2866793, 2273689, 1570973, 1081623, 779744, 610511, 548699, 564661, 666242]",633971.4,83566.4366276318,6,1,867732
de.wikipedia.org,2024-01-02 07:00:00,"[2866793, 2273689, 1570973, 1081623, 779744, 610511, 548699, 564661, 666242, 867732]",651569.0,115553.22256518855,7,1,1218852
de.wikipedia.org,2024-01-02 08:00:00,"[2273689, 1570973, 1081623, 779744, 610511, 548699, 564661, 666242, 867732, 1218852]",773237.2,250148.44572565306,8,1,1553934
de.wikipedia.org,2024-01-02 09:00:00,"[1570973, 1081623, 779744, 610511, 548699, 564661, 666242, 867732, 1218852, 1553934]",974284.2,366016.8940693312,9,1,1786750
de.wikipedia.org,2024-01-02 10:00:00,"[1081623, 779744, 610511, 548699, 564661, 666242, 867732, 1218852, 1553934, 1786750]",1218702.0,415560.11337182013,10,1,1928201
